N,Symbol,Series,Date,Prev Close,Open,High,Low,Last,Close,Average,Volume,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
10,CIPLA,EQ,16-Jan-20,484,484,487.45,479,480,480.25,482.33,1694372,817253116,36394,899446,53.08
11,CIPLA,EQ,17-Jan-20,480.25,480,482.95,476.55,479.95,480.3,480.47,2039387,979864386.4,33972,1247644,61.18
12,CIPLA,EQ,20-Jan-20,480.3,480.45,483.15,476.65,479.85,480.15,480.12,1206931,579469991.8,34474,601424,49.83
13,CIPLA,EQ,21-Jan-20,480.15,478.95,479.55,472.2,473,473.4,475.89,1448808,689466313.6,27223,713960,49.28
14,CIPLA,EQ,22-Jan-20,473.4,474.5,480.3,470.25,470.8,471.6,476.62,2380518,1134603845,48713,1165966,48.98
15,CIPLA,EQ,23-Jan-20,471.6,464.5,475.85,459.35,465,465.15,469.89,5783749,2717742844,76343,2718350,47
16,CIPLA,EQ,24-Jan-20,465.15,465,467.75,456.85,458.75,458.85,462.1,2713370,1253858930,69823,1383132,50.97
17,CIPLA,EQ,27-Jan-20,458.85,457.5,466.5,454.2,464.2,464.45,463.11,5849003,2708743192,69918,3406154,58.23
18,CIPLA,EQ,28-Jan-20,464.45,465,468,458.95,464.45,464.7,464.62,3592413,1669112533,101456,1921394,53.48
19,CIPLA,EQ,29-Jan-20,464.7,464.7,467.4,460.35,461.05,461.55,463.85,1737293,805835142,56487,822428,47.34
20,CIPLA,EQ,30-Jan-20,461.55,461,461,446.35,451,451,452.71,2766881,1252587140,71068,1213142,43.85
21,CIPLA,EQ,31-Jan-20,451,453.95,453.95,442.1,447.9,446.9,448.23,2184609,979214843.8,92843,1050726,48.1
22,CIPLA,EQ,01-Feb-20,446.9,446.5,452.2,437.75,445.6,444.2,446.49,1632513,728896243,23630,613319,37.57
23,CIPLA,EQ,03-Feb-20,444.2,444,450.65,439.4,443.8,444.55,444.09,1690394,750694733.4,48011,826982,48.92
24,CIPLA,EQ,04-Feb-20,444.55,446.7,452.45,444.2,447.7,448.45,449.37,2030860,912598588.8,43211,1023748,50.41
25,CIPLA,EQ,05-Feb-20,448.45,449.55,459.15,437.5,453.75,447.55,447.16,3637403,1626518024,60500,1197984,32.94
26,CIPLA,EQ,06-Feb-20,447.55,462.5,464.35,435.35,438.55,439.65,446.16,7118843,3176117734,125961,2716233,38.16
27,CIPLA,EQ,07-Feb-20,439.65,440,445.9,437.3,442.4,443.2,442.29,6386193,2824548751,65124,2873717,45
28,CIPLA,EQ,10-Feb-20,443.2,444.2,451,442.1,445,444.75,446,3557480,1586627262,34321,961193,27.02
29,CIPLA,EQ,11-Feb-20,444.75,447.1,452,443.35,451,450.6,448.73,1889638,847944097.5,37914,554470,29.34
30,CIPLA,EQ,12-Feb-20,450.6,454.95,454.95,445,446.65,446.8,447.92,1683136,753917497.5,39748,524869,31.18
31,CIPLA,EQ,13-Feb-20,446.8,446.8,448.9,440.5,444,443.4,444.3,2041017,906823799.1,59758,1102922,54.04
32,CIPLA,EQ,14-Feb-20,443.4,444,448.9,441.5,445.1,447.1,445.48,1814780,808448426,42411,719772,39.66
33,CIPLA,EQ,17-Feb-20,447.1,444.5,445.75,430.1,433.25,431.9,433.76,4581786,1987395912,80822,1453094,31.71
34,CIPLA,EQ,18-Feb-20,431.9,433,437.65,428.1,437,436,433.24,2453801,1063077854,33961,966184,39.37
35,CIPLA,EQ,19-Feb-20,436,437.8,449.2,437.4,447.25,447.5,445.07,2359566,1050162092,40302,905590,38.38
36,CIPLA,EQ,20-Feb-20,447.5,448,448.8,434.5,436.7,435.75,439.95,3048500,1341189231,56814,1340091,43.96
37,CIPLA,EQ,24-Feb-20,435.75,436,436.7,426.55,428,430.15,430.1,2569563,1105175982,70928,1339515,52.13
38,CIPLA,EQ,25-Feb-20,430.15,430.2,431.2,420,425.2,425.8,425.12,2438218,1036528239,35505,1062071,43.56
39,CIPLA,EQ,26-Feb-20,425.8,406,425,405.8,422,422.2,419.24,8068909,3382786585,107455,2817881,34.92
40,CIPLA,EQ,27-Feb-20,422.2,411.1,424,409,421,421.2,415.79,5109022,2124267376,89888,1730723,33.88
41,CIPLA,EQ,28-Feb-20,421.2,413,416.45,398.05,405.05,402.1,407.59,4200936,1712263113,86522,1963818,46.75
42,CIPLA,EQ,02-Mar-20,402.1,407,411.25,394.65,405,401.95,406.44,3460583,1406523364,82668,1902720,54.98
43,CIPLA,EQ,03-Mar-20,401.95,402,429.2,402,424.5,425.3,420.06,5476676,2300514977,93117,1464448,26.74
44,CIPLA,EQ,04-Mar-20,425.3,425.6,449.8,420,445.85,447.65,439.56,9297945,4086987029,123174,2612536,28.1
45,CIPLA,EQ,05-Mar-20,447.65,447.85,472,437.45,440,440.6,449.13,9637431,4328415094,111026,3194447,33.15
46,CIPLA,EQ,06-Mar-20,440.6,425,438.15,423.05,431.2,434.4,432.51,2916146,1261268571,50806,958967,32.88
47,CIPLA,EQ,09-Mar-20,434.4,425,432.65,423.5,425,426.15,427.71,2986596,1277406528,44117,1133461,37.95
48,CIPLA,EQ,11-Mar-20,426.15,425,426.15,410.2,418.1,417.1,416.46,5314548,2213276172,126683,2598021,48.89
49,CIPLA,EQ,12-Mar-20,417.1,412.5,412.5,390.75,395.25,394.75,396.7,5636464,2235998268,94842,2742733,48.66
50,CIPLA,EQ,13-Mar-20,394.75,388,434.95,355.3,425,425.55,409.52,6096909,2496794731,150719,2914082,47.8
51,CIPLA,EQ,16-Mar-20,425.55,416,423.9,392.75,396,396.4,407.52,5394615,2198420980,89810,2630380,48.76
52,CIPLA,EQ,17-Mar-20,396.4,397,422,390.75,405,401.75,410.29,2989674,1226642213,83402,900293,30.11
53,CIPLA,EQ,18-Mar-20,401.75,411.8,411.8,381.7,390.35,386,398.21,4200582,1672726650,114086,1879671,44.75
54,CIPLA,EQ,19-Mar-20,386,374.8,390.75,362.9,374.75,374.7,376.81,2926155,1102602164,85136,949190,32.44
55,CIPLA,EQ,20-Mar-20,374.7,379.8,399.8,372.45,385.2,392.8,391.32,4718358,1846385923,138449,2141257,45.38
56,CIPLA,EQ,23-Mar-20,392.8,370,406.9,370,380,375.25,385.56,5507004,2123288368,142970,2179840,39.58
57,CIPLA,EQ,24-Mar-20,375.25,380,409.75,372.55,379.5,377.45,391.39,6652237,2603600592,167567,2632218,39.57
58,CIPLA,EQ,25-Mar-20,377.45,378,394.9,374,375.2,376.45,382.1,6419109,2452756641,177940,3135740,48.85
59,CIPLA,EQ,26-Mar-20,376.45,383,394.7,380.5,390,386.15,386.9,4291225,1660261185,96157,1353543,31.54
60,CIPLA,EQ,27-Mar-20,386.15,393,411,391.95,409.5,407.65,403.12,6471292,2608694470,134530,1883424,29.1
61,CIPLA,EQ,30-Mar-20,407.65,413.8,438.7,407.65,435,431.75,421.81,9021027,3805120197,235135,2104985,23.33
62,CIPLA,EQ,31-Mar-20,431.75,446,446.6,420,422.35,422.85,432.6,9434756,4081519674,145428,4095059,43.4
63,CIPLA,EQ,01-Apr-20,422.85,424.9,430.9,410.4,413.55,413.75,419.85,6329718,2657544430,114574,2126931,33.6
64,CIPLA,EQ,03-Apr-20,413.75,425,454.7,416.25,448,449.2,442.98,17906777,7932340266,276736,5394566,30.13
65,CIPLA,EQ,07-Apr-20,449.2,479,513.4,452,492,492.25,487.21,20843854,10155335957,340593,4168507,20
66,CIPLA,EQ,08-Apr-20,492.25,496.95,530,490,514.95,512.75,516.98,19456194,10058531580,295878,3249484,16.7
67,CIPLA,EQ,09-Apr-20,512.75,564,610,564,580,579.6,582.73,27207928,15854975819,389706,5513520,20.26
68,CIPLA,EQ,13-Apr-20,579.6,605,605,583,593.2,592.85,591.93,15483866,9165439972,245354,3508138,22.66
69,CIPLA,EQ,15-Apr-20,592.85,604.45,614,578.6,595.85,592.35,601.45,16213849,9751835990,315659,4086606,25.2
70,CIPLA,EQ,16-Apr-20,592.35,590,612.8,582,601.95,600.45,599.2,12716392,7619691910,203613,3328738,26.18
71,CIPLA,EQ,17-Apr-20,600.45,615,615,595,596,598,602.8,8304296,5005793111,155669,1765823,21.26
72,CIPLA,EQ,20-Apr-20,598,598,599.4,580,584.6,585.4,587.49,5856240,3440508754,120517,1353235,23.11
