N,Symbol,Series,Date,Prev Close,Open,High,Low,Last,Close,Average,Volume,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
150,DRREDDY,EQ,08-Aug-18,2258.8,2263,2280,2237,2250.1,2245.5,2252.12,345399,777879242.2,16547,41198,11.93
151,DRREDDY,EQ,09-Aug-18,2245.5,2263.9,2263.9,2205.05,2240,2237.7,2231.65,390701,871907818.6,17634,44910,11.49
152,DRREDDY,EQ,10-Aug-18,2237.7,2236.4,2256.9,2205.5,2221.5,2214.3,2227.83,323888,721567926,14029,48285,14.91
153,DRREDDY,EQ,13-Aug-18,2214.3,2220,2249,2215.15,2248,2241.6,2235.46,267323,597591078.4,16961,45441,17
154,DRREDDY,EQ,14-Aug-18,2241.6,2254,2291,2239.05,2279,2278.45,2264.57,482038,1091609161,18917,89206,18.51
155,DRREDDY,EQ,16-Aug-18,2278.45,2275.35,2361.45,2270.85,2357.6,2353.45,2323.94,895988,2082220788,36321,244299,27.27
156,DRREDDY,EQ,17-Aug-18,2353.45,2373.9,2411.3,2350.9,2362.95,2364.15,2387.03,889022,2122120519,45836,195902,22.04
157,DRREDDY,EQ,20-Aug-18,2364.15,2365,2396.95,2365,2380,2380.75,2381.16,361318,860355467,15022,46617,12.9
158,DRREDDY,EQ,21-Aug-18,2380.75,2388,2427.9,2354.1,2423.2,2410.95,2402.35,638958,1534999924,26121,111888,17.51
159,DRREDDY,EQ,23-Aug-18,2410.95,2430,2520,2425,2467.9,2463.6,2472.61,1624568,4016916816,60208,324463,19.97
160,DRREDDY,EQ,24-Aug-18,2463.6,2475,2477.4,2425.6,2445,2447.45,2448.5,576704,1412061778,27114,144708,25.09
161,DRREDDY,EQ,27-Aug-18,2447.45,2453,2462.95,2426.5,2445,2443.1,2442.34,457122,1116447464,21703,155960,34.12
162,DRREDDY,EQ,28-Aug-18,2443.1,2450,2480,2407.05,2411,2414.5,2436.65,750408,1828484438,39429,290413,38.7
163,DRREDDY,EQ,29-Aug-18,2414.5,2420,2429.5,2377.5,2380.85,2383.85,2398.03,638133,1530259572,28365,270371,42.37
164,DRREDDY,EQ,30-Aug-18,2383.85,2385,2417.95,2375.05,2386,2380.15,2392.55,1078598,2580596601,46853,288208,26.72
165,DRREDDY,EQ,31-Aug-18,2380.15,2397,2499,2395,2492,2492,2453.84,1981320,4861841725,87414,703986,35.53
166,DRREDDY,EQ,03-Sep-18,2492,2510,2632,2495,2588,2593.4,2586.94,3039924,7864091415,123862,603811,19.86
167,DRREDDY,EQ,04-Sep-18,2593.4,2595,2615,2537.05,2547.6,2543.1,2563.3,1036459,2656751637,46925,171286,16.53
168,DRREDDY,EQ,05-Sep-18,2543.1,2549.3,2590,2518.5,2570,2567.7,2556.06,1127153,2881066095,69482,279641,24.81
169,DRREDDY,EQ,06-Sep-18,2567.7,2584,2620,2555.1,2568.6,2566.95,2585.59,1084494,2804053611,52030,244721,22.57
170,DRREDDY,EQ,07-Sep-18,2566.95,2575,2644.3,2545.6,2625,2632.5,2606.38,1306632,3405577379,85953,401049,30.69
171,DRREDDY,EQ,10-Sep-18,2632.5,2623.8,2659.8,2555,2561.1,2563.9,2595.32,1323873,3435872541,82109,421109,31.81
172,DRREDDY,EQ,11-Sep-18,2563.9,2578.45,2586.45,2507.1,2538.05,2524.45,2536.37,1136931,2883672799,65667,470496,41.38
173,DRREDDY,EQ,12-Sep-18,2524.45,2526,2574.45,2487.6,2535,2529.15,2528.24,1248825,3157323082,58076,462971,37.07
174,DRREDDY,EQ,14-Sep-18,2529.15,2555.9,2595,2550.05,2581.85,2581.85,2574.06,677333,1743498540,35443,116541,17.21
175,DRREDDY,EQ,17-Sep-18,2581.85,2581,2615,2547.9,2572.1,2568.5,2585.47,691773,1788557738,32907,95508,13.81
176,DRREDDY,EQ,18-Sep-18,2568.5,2579.9,2637,2570,2598.9,2584.15,2609.59,1111458,2900448937,73547,261642,23.54
177,DRREDDY,EQ,19-Sep-18,2584.15,2603.4,2636,2571,2620.8,2607.1,2608.44,869947,2269206699,48204,182027,20.92
178,DRREDDY,EQ,21-Sep-18,2607.1,2643.95,2670.8,2441.1,2576.7,2556.25,2603.61,1411007,3673715523,57434,371139,26.3
179,DRREDDY,EQ,24-Sep-18,2556.25,2577.8,2600.95,2529.3,2561.6,2553.95,2563.71,688659,1765521167,27203,142251,20.66
180,DRREDDY,EQ,25-Sep-18,2553.95,2570.6,2619.25,2550.25,2616.25,2611.7,2595.95,759251,1970976069,38323,220730,29.07
181,DRREDDY,EQ,26-Sep-18,2611.7,2617.7,2664.2,2591,2592,2600.85,2625.82,1206238,3167365896,68621,358067,29.68
182,DRREDDY,EQ,27-Sep-18,2600.85,2609.9,2620.35,2529,2546.2,2541,2554.08,1050352,2682678709,54637,425212,40.48
183,DRREDDY,EQ,28-Sep-18,2541,2559,2577,2484.55,2530,2530.65,2538.5,1069703,2715441750,51912,440528,41.18
184,DRREDDY,EQ,01-Oct-18,2530.65,2531,2540.7,2440.35,2512,2508.6,2482.15,762356,1892280146,38848,229042,30.04
185,DRREDDY,EQ,03-Oct-18,2508.6,2517,2549,2482,2489,2489.55,2511.59,705888,1772899318,37515,121697,17.24
186,DRREDDY,EQ,04-Oct-18,2489.55,2469,2493.95,2360.25,2365.05,2372.45,2424.61,804214,1949903638,42547,274898,34.18
187,DRREDDY,EQ,05-Oct-18,2372.45,2356,2429.1,2350.3,2385,2394.55,2394.74,736953,1764813265,33445,176334,23.93
188,DRREDDY,EQ,08-Oct-18,2394.55,2395,2407.75,2332,2341.95,2340.1,2361.97,603789,1426129666,31049,196848,32.6
189,DRREDDY,EQ,09-Oct-18,2340.1,2357.65,2477,2341.95,2465.55,2454.15,2421.95,1127674,2731173080,49397,471084,41.77
190,DRREDDY,EQ,10-Oct-18,2454.15,2465,2514.05,2456,2480.95,2484.6,2479.29,893571,2215425639,62070,332003,37.15
191,DRREDDY,EQ,11-Oct-18,2484.6,2412.05,2516,2408,2458.4,2459,2463.68,548027,1350164714,45964,159714,29.14
192,DRREDDY,EQ,12-Oct-18,2459,2460,2490.95,2432.45,2450,2450.5,2462.59,925386,2278845300,65289,484561,52.36
193,DRREDDY,EQ,15-Oct-18,2450.5,2461.1,2579.95,2443.4,2567.25,2566.85,2541.5,1123276,2854810278,56450,269636,24
194,DRREDDY,EQ,16-Oct-18,2566.85,2566.9,2590,2537.5,2568.95,2573.6,2566.4,600003,1539847672,40753,149298,24.88
195,DRREDDY,EQ,17-Oct-18,2573.6,2580,2599,2552,2566,2565,2574.59,492009,1266720507,34482,134426,27.32
196,DRREDDY,EQ,19-Oct-18,2565,2550,2582.9,2530.5,2546,2552.35,2552.06,436984,1115211237,31431,140180,32.08
197,DRREDDY,EQ,22-Oct-18,2552.35,2562.5,2582.65,2496.25,2525,2519.4,2546.47,556392,1416834519,30364,124998,22.47
198,DRREDDY,EQ,23-Oct-18,2519.4,2524.95,2546.25,2425.1,2481,2473.75,2482.71,823509,2044536446,45639,240966,29.26
199,DRREDDY,EQ,24-Oct-18,2473.75,2488,2497,2386.55,2420,2434.3,2436.66,725644,1768144334,39640,205030,28.25
200,DRREDDY,EQ,25-Oct-18,2434.3,2411.6,2444.95,2380,2400.95,2390.5,2401.5,1339300,3216334998,47409,749646,55.97
201,DRREDDY,EQ,26-Oct-18,2390.5,2391.4,2450,2368.05,2398,2404.55,2405.61,1125652,2707876514,55901,213228,18.94
202,DRREDDY,EQ,29-Oct-18,2404.55,2440,2559,2439.9,2531.65,2532.95,2520.7,1030783,2598291246,54808,204606,19.85
203,DRREDDY,EQ,30-Oct-18,2532.95,2530.7,2610,2515.25,2593,2594.3,2573.94,971039,2499400021,63580,326559,33.63
204,DRREDDY,EQ,31-Oct-18,2594.3,2438.95,2554.4,2423.05,2542,2542.45,2501,2272822,5684330478,129904,515924,22.7
205,DRREDDY,EQ,01-Nov-18,2542.45,2560,2574.45,2446.5,2465.5,2461.6,2503.74,1370566,3431535508,84125,658351,48.03
206,DRREDDY,EQ,02-Nov-18,2461.6,2465.5,2475.9,2403.55,2418.85,2423.25,2434.96,880708,2144492029,58604,219721,24.95
207,DRREDDY,EQ,05-Nov-18,2423.25,2440,2452,2391,2413.2,2420.9,2418.26,529589,1280683318,42546,128778,24.32
208,DRREDDY,EQ,06-Nov-18,2420.9,2418.7,2460,2412,2450.75,2450.85,2436.88,378830,923162604.4,27122,74306,19.61
209,DRREDDY,EQ,07-Nov-18,2450.85,2460,2469.9,2442,2456.4,2452.95,2456.49,77956,191498003.6,4635,13780,17.68
210,DRREDDY,EQ,09-Nov-18,2452.95,2465,2465,2389,2399.95,2400,2414.84,1002927,2421910939,72955,406131,40.49
211,DRREDDY,EQ,12-Nov-18,2400,2413.9,2437.85,2395,2418.2,2415.55,2416.91,487888,1179180715,36905,147552,30.24
212,DRREDDY,EQ,13-Nov-18,2415.55,2416,2451,2415.55,2440,2438.05,2435.09,469698,1143756153,27437,125085,26.63
213,DRREDDY,EQ,14-Nov-18,2438.05,2449.9,2470,2406.8,2455,2449.25,2437.75,430253,1048847184,24606,118606,27.57
214,DRREDDY,EQ,15-Nov-18,2449.25,2456.8,2497.95,2449.95,2460,2461.8,2471.18,498725,1232441412,30582,77605,15.56
215,DRREDDY,EQ,16-Nov-18,2461.8,2463,2496.8,2442.05,2472.9,2477.05,2473.71,425810,1053329972,28542,78857,18.52
216,DRREDDY,EQ,19-Nov-18,2477.05,2545.5,2545.6,2490,2522.05,2528.6,2517.04,947022,2383692454,50508,217487,22.97
217,DRREDDY,EQ,20-Nov-18,2528.6,2520.1,2520.1,2437.55,2438.25,2443.15,2468.72,541117,1335864778,34070,141906,26.22
218,DRREDDY,EQ,21-Nov-18,2443.15,2608,2655,2577.15,2600.45,2601.8,2613.55,4485824,11723938809,197711,1419936,31.65
219,DRREDDY,EQ,22-Nov-18,2601.8,2580,2619.7,2575.6,2607.3,2608.7,2602.32,1009204,2626270199,61731,196779,19.5
220,DRREDDY,EQ,26-Nov-18,2608.7,2607,2637.9,2521.05,2570.55,2558.6,2579.76,1129634,2914182270,64613,401709,35.56
221,DRREDDY,EQ,27-Nov-18,2558.6,2575,2602.8,2542,2591,2588.75,2572.88,1047598,2695343597,74661,436528,41.67
222,DRREDDY,EQ,28-Nov-18,2588.75,2595,2595.35,2547.75,2572.35,2572.3,2565.65,644293,1653027941,52033,269055,41.76
223,DRREDDY,EQ,29-Nov-18,2572.3,2584,2666.7,2575.1,2653.45,2655.3,2617.85,1048293,2744275397,59507,353739,33.74
224,DRREDDY,EQ,30-Nov-18,2655.3,2661,2734.55,2657.05,2730,2722.2,2701.52,1491828,4030210522,82889,502540,33.69
225,DRREDDY,EQ,03-Dec-18,2722.2,2738.6,2742.6,2652.45,2675,2667.9,2691.9,983834,2648387132,50962,349570,35.53
226,DRREDDY,EQ,04-Dec-18,2667.9,2688,2718.85,2681.8,2704,2704.05,2703.98,915453,2475364669,61577,305846,33.41
227,DRREDDY,EQ,05-Dec-18,2704.05,2696,2713.95,2646.6,2673.05,2671.65,2684.93,447631,1201857404,29477,73362,16.39
228,DRREDDY,EQ,06-Dec-18,2671.65,2671,2681,2621.15,2642,2641.2,2645.38,515153,1362774136,38038,137929,26.77
229,DRREDDY,EQ,07-Dec-18,2641.2,2661,2714.3,2643,2684.35,2692.55,2683.58,1179675,3165749499,60522,232939,19.75
230,DRREDDY,EQ,10-Dec-18,2692.55,2623.1,2707,2623.1,2684,2690.45,2682.12,1005187,2696036011,34024,484756,48.23
231,DRREDDY,EQ,11-Dec-18,2690.45,2668.5,2749.95,2666.1,2725,2716.15,2714.53,840779,2282318014,48255,216153,25.71
232,DRREDDY,EQ,12-Dec-18,2716.15,2670,2711.55,2534.1,2597.05,2586.35,2596.13,3413128,8860933459,164961,710060,20.8
233,DRREDDY,EQ,13-Dec-18,2586.35,2625,2625,2567.2,2604,2596.85,2592.95,1037801,2690966241,57321,73802,7.11
