N,Symbol,Series,Date,Prev Close,Open,High,Low,Last,Close,Average,Volume,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
32,LUPIN,EQ,14-Feb-20,703.4,704.5,721.45,704.5,719.5,717.65,715.96,1845960,1321642534,29036,635960,34.45
33,LUPIN,EQ,17-Feb-20,717.65,718.5,731.25,710.6,711.2,712.55,721.23,1402215,1011326492,25236,245043,17.48
34,LUPIN,EQ,18-Feb-20,712.55,710.8,710.95,694,703.1,706.05,701.04,1225756,859308221,25768,398780,32.53
35,LUPIN,EQ,19-Feb-20,706.05,705,716.5,704.4,708.9,709.05,710.03,894396,635050949.2,50376,311770,34.86
36,LUPIN,EQ,20-Feb-20,709.05,706.15,708.1,698,698.8,699.6,702.44,1883153,1322805795,29520,1190855,63.24
37,LUPIN,EQ,24-Feb-20,699.6,695,697,669,672.75,672.85,683.31,1771815,1210703168,38264,619985,34.99
38,LUPIN,EQ,25-Feb-20,672.85,680,680,667.4,671,669.15,674.36,2838451,1914138439,40745,1981159,69.8
39,LUPIN,EQ,26-Feb-20,669.15,668.1,676,664.55,667.85,669.8,669.8,2122196,1421445138,24572,1394076,65.69
40,LUPIN,EQ,27-Feb-20,669.8,669.1,671.3,654.6,664,662.8,661.47,1302115,861315404.2,31237,680732,52.28
41,LUPIN,EQ,28-Feb-20,662.8,656.15,659.4,635.2,640.45,640,645.17,2408425,1553850201,56518,1208573,50.18
42,LUPIN,EQ,02-Mar-20,640,645,652.3,620.5,628.25,629.8,644.89,2408228,1553032878,36379,1497956,62.2
43,LUPIN,EQ,03-Mar-20,629.8,637,660.55,635.3,650,649.6,648.91,2135990,1386054713,41813,809917,37.92
44,LUPIN,EQ,04-Mar-20,649.6,653.2,667.25,643.3,663.6,664.4,660.67,2723269,1799180434,64696,1212434,44.52
45,LUPIN,EQ,05-Mar-20,664.4,668,686.65,666,677.95,676.55,677.57,2089837,1416007790,33433,677378,32.41
46,LUPIN,EQ,06-Mar-20,676.55,665,673.8,657.2,663.3,663.5,666.51,3466958,2310745969,25272,2552510,73.62
47,LUPIN,EQ,09-Mar-20,663.5,645,664.55,643.5,651,651.15,652.69,1461377,953824714.1,35434,671377,45.94
48,LUPIN,EQ,11-Mar-20,651.15,652.1,659.6,635.45,640.2,638.8,649.25,1987343,1290281067,42979,1083740,54.53
49,LUPIN,EQ,12-Mar-20,638.8,629,629,583.65,597,593.8,608.9,4991404,3039284171,65782,3689241,73.91
50,LUPIN,EQ,13-Mar-20,593.8,550,615.95,504.75,612.95,605.85,586.85,1820679,1068471123,55633,684641,37.6
51,LUPIN,EQ,16-Mar-20,605.85,595.85,632.85,576,600,599,608.99,2477918,1509030167,56180,1092120,44.07
52,LUPIN,EQ,17-Mar-20,599,605.25,646.25,596.35,619.15,616.1,624.62,2067474,1291379095,55499,694082,33.57
53,LUPIN,EQ,18-Mar-20,616.1,626,637.35,605.7,622,612.9,618.96,2352298,1455969385,110574,998704,42.46
54,LUPIN,EQ,19-Mar-20,612.9,594.5,654,578.05,637.5,635,618.07,2680525,1656764529,85150,940755,35.1
55,LUPIN,EQ,20-Mar-20,635,640.7,665.1,631.25,644.7,641.95,648.12,2708797,1755614348,79341,787789,29.08
56,LUPIN,EQ,23-Mar-20,641.95,610,631.95,586.1,601.25,592.15,607.83,1677212,1019458654,72445,765094,45.62
57,LUPIN,EQ,24-Mar-20,592.15,586.25,628,585.55,589.5,592.2,604.14,1545463,933672598.4,71808,587346,38
58,LUPIN,EQ,25-Mar-20,592.2,581,599.25,558.1,562.25,566.5,576.44,3016516,1738827983,109025,1514155,50.2
59,LUPIN,EQ,26-Mar-20,566.5,566.5,569.1,542.4,555,558.65,556.92,3907931,2176413850,127724,1973781,50.51
60,LUPIN,EQ,27-Mar-20,558.65,565.05,591.6,542.35,553,548.1,564.67,4900023,2766896793,96752,2872611,58.62
61,LUPIN,EQ,30-Mar-20,548.1,551.5,573.5,535.25,562.7,560.6,560.34,2777231,1556194308,78470,1033062,37.2
62,LUPIN,EQ,31-Mar-20,560.6,573,594.4,568.25,589.85,589.65,581.94,3151209,1833799183,71586,1448967,45.98
63,LUPIN,EQ,01-Apr-20,589.65,589.85,590.8,575.45,580.6,579.05,581.56,1298954,755417918.4,62596,568262,43.75
64,LUPIN,EQ,03-Apr-20,579.05,582.45,665.9,578,662,655.85,633.2,6492876,4111300581,146154,1089812,16.78
65,LUPIN,EQ,07-Apr-20,655.85,690,738.65,670.25,699,700.05,702.45,8165523,5735903208,191706,1515136,18.56
66,LUPIN,EQ,08-Apr-20,700.05,701,734.45,698.55,710.6,705.6,714.84,6927854,4952279150,178529,2400286,34.65
67,LUPIN,EQ,09-Apr-20,705.6,733.4,798,733.4,790,790.15,770.93,13732508,10586781782,262373,2880503,20.98
68,LUPIN,EQ,13-Apr-20,790.15,804,848.8,799,825,826.05,828.94,10064806,8343169005,232357,1937807,19.25
69,LUPIN,EQ,15-Apr-20,826.05,847.95,854,791.35,815,810.4,832.37,7000858,5827324752,166209,1730265,24.72
70,LUPIN,EQ,16-Apr-20,810.4,805,832.5,787.05,829,825.9,817.78,3963325,3241116705,98211,963055,24.3
71,LUPIN,EQ,17-Apr-20,825.9,841,845,817.6,819,822.25,825.52,3328245,2747516191,67270,711106,21.37
72,LUPIN,EQ,20-Apr-20,822.25,822,822,795.35,811,809.75,809.71,2294963,1858263603,54259,718812,31.32
73,LUPIN,EQ,21-Apr-20,809.75,795.5,845.5,792,810,812.5,826.93,5837277,4827029093,110622,791536,13.56
74,LUPIN,EQ,22-Apr-20,812.5,805,829.6,802.9,807,806.6,813.86,3630814,2954977360,67798,464868,12.8
75,LUPIN,EQ,23-Apr-20,806.6,811,837.3,811,824,822.35,827.41,3411980,2823096268,68355,512460,15.02
76,LUPIN,EQ,24-Apr-20,822.35,824.7,891,820.7,880,877.35,869.54,14719870,12799562819,285223,1941359,13.19
77,LUPIN,EQ,27-Apr-20,877.35,899.95,906,875.7,897,896.8,893.28,6448984,5760760423,126255,1130085,17.52
78,LUPIN,EQ,28-Apr-20,896.8,900,901,848.25,857.4,854.35,867.93,4121437,3577108690,84507,865180,20.99
79,LUPIN,EQ,29-Apr-20,854.35,860,872.7,848.75,853.5,854.4,861.96,3286033,2832415889,66779,382036,11.63
80,LUPIN,EQ,30-Apr-20,854.4,874.9,878.2,811.55,833.8,835.3,840.24,7643331,6422205826,155467,1270571,16.62
81,LUPIN,EQ,04-May-20,835.3,826,865.8,815,841.6,841.65,852.32,5482347,4672705870,130867,808421,14.75
82,LUPIN,EQ,05-May-20,841.65,867.95,867.95,821,826,826.8,842.7,3485068,2936851193,83187,531311,15.25
83,LUPIN,EQ,06-May-20,826.8,834.95,840.65,817.05,828.6,827.2,825.88,2243112,1852533014,50724,325566,14.51
84,LUPIN,EQ,07-May-20,827.2,820,836.6,808.75,815.8,813.3,821.75,2230824,1833171682,82103,623471,27.95
85,LUPIN,EQ,08-May-20,813.3,820,839.65,817.3,835,835,829.19,2635472,2185315038,62889,555490,21.08
86,LUPIN,EQ,11-May-20,835,843.95,857.7,832.05,852.8,849.3,847.44,3945910,3343916716,94044,541629,13.73
87,LUPIN,EQ,12-May-20,849.3,850,860.6,845,851.9,851.85,852.03,2001947,1705725782,62546,302414,15.11
88,LUPIN,EQ,13-May-20,851.85,861,863,835.2,840.65,839.25,845.32,2253402,1904839423,44073,465155,20.64
89,LUPIN,EQ,14-May-20,839.25,840,866.4,828.7,863.35,863.05,853.09,3474054,2963693730,72347,612865,17.64
90,LUPIN,EQ,15-May-20,863.05,863.05,863.05,836.1,839.8,841.8,846.32,1984618,1679612920,38387,467266,23.54
91,LUPIN,EQ,18-May-20,841.8,838,862.95,837.35,855,856.85,850.67,2661406,2263988551,56565,640149,24.05
92,LUPIN,EQ,19-May-20,856.85,863.5,870,833.35,846,840.35,852.46,3414398,2910642841,78098,419912,12.3
93,LUPIN,EQ,20-May-20,840.35,844.6,878,841,868,873.2,865.68,3952859,3421900395,69611,809870,20.49
94,LUPIN,EQ,21-May-20,873.2,870,889.95,863.15,884.4,885.75,878.76,2666661,2343359714,56174,742564,27.85
95,LUPIN,EQ,22-May-20,885.75,881,898,875.35,892.75,892.75,888.42,2372917,2108139951,48260,367949,15.51
96,LUPIN,EQ,26-May-20,892.75,893,919.2,893,903.15,905.95,906.8,5437214,4930445288,137740,1262516,23.22
